,Ciclo Agricola,Idestado,Nomestado,Idddr,Nomddr,Idcader,Nomcader,Idmunicipio,Nommunicipio,Idciclo,Nomcicloproductivo,Idmodalidad,Nommodalidad,Idunidadmedida,Nomunidad,Idcultivo,Nomcultivo Sin Um,Sembrada,Cosechada,Siniestrada,Volumenproduccion,Rendimiento,Precio,Valor produccion,Fertilizante N (kg/ha),Nin_kg
8323,2012,26,Sonora,148,Cajeme,5,Vicam,18,Cajeme,1,Otoño-Invierno,1,Riego,200201,Tonelada,7490000,Maz grano,48.0,48.0,0.0,302.4,6.3,"$3,900.00","$1,179,360.00",280,13440.0
8324,2012,26,Sonora,148,Cajeme,5,Vicam,18,Cajeme,1,Otoño-Invierno,1,Riego,200201,Tonelada,9050000,Trigo grano,3936.0,3936.0,0.0,27945.1,7.1,"$3,547.41","$99,132,650.00",280,1102080.0
8325,2012,26,Sonora,148,Cajeme,5,Vicam,18,Cajeme,2,Primavera-Verano,1,Riego,200201,Tonelada,8810000,Sorgo grano,200.0,200.0,0.0,900.0,4.5,"$3,000.00","$2,700,000.00",190,38000.0
8326,2012,26,Sonora,148,Cajeme,5,Vicam,18,Cajeme,3,Perennes,1,Riego,200201,Tonelada,5160000,Alfalfa achicalada,144.0,144.0,0.0,1728.0,12,"$1,950.00","$3,369,600.00",24,3456.0
8327,2011,26,Sonora,148,Cajeme,1,Cd. Obregn,18,Cajeme,1,Otoño-Invierno,1,Riego,200201,Tonelada,5740000,Calabacita,364.0,180.0,184.0,2520.0,14,"$4,400.00","$11,088,000.00",110,40040.0
8328,2011,26,Sonora,148,Cajeme,1,Cd. Obregn,18,Cajeme,1,Otoño-Invierno,1,Riego,200201,Tonelada,6120000,Chile verde,400.0,247.0,153.0,3408.6,13.8,"$3,000.00","$10,225,800.00",200,80000.0
8329,2011,26,Sonora,148,Cajeme,1,Cd. Obregn,18,Cajeme,1,Otoño-Invierno,1,Riego,200201,Tonelada,6840000,Frijol,350.0,150.0,200.0,180.0,1.2,"$9,900.00","$1,782,000.00",100,35000.0
8330,2011,26,Sonora,148,Cajeme,1,Cd. Obregn,18,Cajeme,1,Otoño-Invierno,1,Riego,200201,Tonelada,6900000,Garbanzo grano,680.0,680.0,0.0,1217.2,1.79,"$12,500.00","$15,215,000.00",18,12240.0
8331,2011,26,Sonora,148,Cajeme,1,Cd. Obregn,18,Cajeme,1,Otoño-Invierno,1,Riego,200201,Tonelada,7490000,Maz grano,1430.0,308.0,1122.0,1848.0,6,"$2,200.00","$4,065,600.00",280,400400.0
8332,2011,26,Sonora,148,Cajeme,1,Cd. Obregn,18,Cajeme,1,Otoño-Invierno,1,Riego,200201,Tonelada,8100000,Papa,2476.0,1705.0,771.0,47740.0,28,"$10,000.00","$477,400,000.00",110,272360.0
8333,2011,26,Sonora,148,Cajeme,1,Cd. Obregn,18,Cajeme,1,Otoño-Invierno,1,Riego,200201,Tonelada,8970000,Tomate rojo (jitomate),97.0,47.0,50.0,5700.0,121.28,"$4,800.00","$27,360,000.00",200,19400.0
8334,2011,26,Sonora,148,Cajeme,1,Cd. Obregn,18,Cajeme,1,Otoño-Invierno,1,Riego,200201,Tonelada,9050000,Trigo grano,29513.0,29333.0,180.0,184797.9,6.3,"$3,513.71","$649,325,785.50",280,8263640.0
8335,2011,26,Sonora,148,Cajeme,1,Cd. Obregn,18,Cajeme,2,Primavera-Verano,1,Riego,200201,Tonelada,5190000,Algodn hueso,4311.0,4311.0,0.0,14441.9,3.35,"$6,000.00","$86,651,400.00",375,1616625.0
8336,2011,26,Sonora,148,Cajeme,1,Cd. Obregn,18,Cajeme,2,Primavera-Verano,1,Riego,200201,Tonelada,6840000,Frijol,100.0,100.0,0.0,100.0,1,"$9,000.00","$900,000.00",100,10000.0
8337,2011,26,Sonora,148,Cajeme,1,Cd. Obregn,18,Cajeme,2,Primavera-Verano,1,Riego,200201,Tonelada,7490000,Maz grano,923.0,923.0,0.0,4680.5,5.07,"$4,000.00","$18,722,000.00",280,258440.0
8338,2011,26,Sonora,148,Cajeme,1,Cd. Obregn,18,Cajeme,2,Primavera-Verano,1,Riego,200201,Tonelada,8810000,Sorgo grano,1768.0,1768.0,0.0,7338.8,4.15,"$3,380.87","$24,811,528.76",190,335920.0
